credito_total,ingreso_mensual,frecuencia_ahorro,nivel_endeudamiento,pago_mensual_deudas,tipo,fecha,descripcion,tipoPago,monto,meses_a_deber,categoria
37329.86,9267.75,NULA,1,276.81,Egreso,2025-04-05,Transaction at IRCTC,Debito,20666.49,0,Travel
42943.28,5169.78,ALTA,12,1362.36,Egreso,2025-12-06,Transaction at Myntra,Transferencia,1919.05,0,Online Shopping
25891.94,5464.42,NULA,6,102.99,Egreso,2025-06-20,Transaction at BigBazaar,Debito,2837.68,0,Grocery
47081.72,3684.23,BAJA,45,1372.29,Egreso,2025-04-23,Transaction at Property Tax Online,Transferencia,1071.04,0,Bills
48412.98,7471.89,BAJA,93,157.84,Egreso,2025-03-06,Transaction at Asus Store,Debito,10722.8,0,Electronics
40332.44,6797.05,NULA,83,409.67,Egreso,2025-10-30,Transaction at Max Fashion,Debito,3502.77,0,Clothing
22713.22,9025.64,BAJA,60,776.84,Egreso,2025-06-11,Transaction at Property Tax Online,Credito,5334.34,5,Bills
43350.48,1053.39,NULA,5,1815.77,Egreso,2025-01-03,Transaction at Airtel,Transferencia,1472.58,0,Bills
25600.57,6138.63,BAJA,7,946.98,Egreso,2025-07-27,Transaction at Wrogn,Credito,1965.86,7,Clothing
39502.29,4130.55,NULA,37,957.83,Egreso,2025-08-16,Transaction at Aha,Credito,250.69,7,Entertainment
29084.73,7195.68,MEDIA,54,116.93,Egreso,2025-03-04,Transaction at Airtel,Debito,3989.88,0,Bills
37839.11,1282.9,NULA,96,1529.61,Egreso,2025-06-23,Transaction at Cream Stone,Credito,525.94,4,Food
9525.27,7876.07,BAJA,64,1975.71,Egreso,2025-06-24,Transaction at Cream Stone,Transferencia,393.35,0,Food
48276.95,1122.77,BAJA,95,199.81,Egreso,2025-05-10,Transaction at IndiGo,Transferencia,24147.34,0,Travel
39669.76,9909.7,ALTA,81,1794.72,Egreso,2025-07-28,Transaction at Nilgiris,Transferencia,1295.25,0,Grocery
49801.39,5377.62,ALTA,69,1688.03,Egreso,2025-04-26,Transaction at TSRTC,Transferencia,1287.28,0,Transport
18721.63,4288.28,ALTA,9,477.61,Egreso,2025-02-11,Transaction at Metro Rail,Debito,723.54,0,Transport
40838.53,7052.65,MEDIA,37,1003.54,Egreso,2025-05-03,Transaction at IRCTC,Credito,11324.06,10,Travel
41453.74,3091.33,ALTA,54,456.98,Egreso,2025-06-27,Transaction at Ajio,Credito,6989.5,7,Online Shopping
49527.9,4149.67,BAJA,30,1386.67,Egreso,2025-12-27,Transaction at Nilgiris,Transferencia,1436.49,0,Grocery
14467.38,3485.96,MEDIA,56,1396.43,Egreso,2025-11-10,Transaction at Nykaa,Transferencia,16470.71,0,Online Shopping
5136.19,7517.29,NULA,97,1301.48,Egreso,2025-05-21,Transaction at Dominos,Debito,851.8,0,Food
